Player,Start,End,Matches,Innings,NotOuts,Runs,HighScore,Average,StrikeRate,Hundreds,Fifties,Ducks,Overs,Maidens,Wickets,Economy,FourWickets,FiveWickets,Country
MM Lanning,2010,2023,132,121,28,3405,133,36.61290322580645,116.37047163362952,2,15,1,6,0,4,6.5,0,0,AUS
AJ Healy,2010,2024,153,135,21,2795,148,24.517543859649123,129.15896487985214,1,16,12,0,0,0,0,0,0,AUS
BL Mooney,2016,2024,95,89,22,2764,117,41.25373134328358,123.50312779267203,2,22,4,0,0,0,0,0,0,AUS
EA Perry,2008,2024,151,95,37,1841,75,31.74137931034483,116.15141955835962,0,9,5,401.5,8,125,5.845707175445873,4,0,AUS
EJ Villani,2009,2018,62,58,10,1369,90,28.520833333333332,118.22107081174438,0,12,4,0,0,0,0,0,0,AUS
AJ Blackwell,2005,2017,95,81,19,1314,61,21.193548387096776,92.92786421499292,0,1,5,1,0,0,14,0,0,AUS
A Gardner,2017,2024,85,66,16,1308,93,26.16,130.66933066933066,0,6,5,208.2,3,64,6.7008,0,1,AUS
JE Duffin,2009,2015,64,55,10,941,68,20.91111111111111,107.54285714285714,0,3,4,0,0,0,0,0,0,AUS
TM McGrath,2021,2024,39,30,9,900,91,42.857142857142854,134.7305389221557,0,7,1,43,1,17,8.581395348837209,0,0,AUS
RL Haynes,2010,2022,84,56,24,850,69,26.5625,117.72853185595568,0,3,1,7.2,0,4,10.090909090909092,0,0,AUS
LJ Poulton,2006,2012,40,40,2,784,61,20.63157894736842,104.25531914893618,0,2,2,3,0,2,6.666666666666667,0,0,AUS
S Nitschke,2005,2011,36,35,2,776,56,23.515151515151516,105.72207084468666,0,3,2,128,4,43,5.5078125,1,0,AUS
LC Sthalekar,2005,2013,54,50,14,769,52,21.36111111111111,109.70042796005706,0,1,4,199.2,1,60,5.8244147157190636,1,0,AUS
JL Jonassen,2012,2023,105,43,9,438,47,12.882352941176471,90.12345679012346,0,0,3,327,7,96,5.761467889908257,3,1,AUS
GM Harris,2015,2024,42,27,8,408,64,21.473684210526315,167.21311475409837,0,1,5,29,0,9,5.517241379310345,0,0,AUS
KL Rolton,2005,2009,15,12,4,405,96,50.625,125.77639751552796,0,2,0,6,0,3,6.166666666666667,0,0,AUS
JM Fields,2006,2013,37,20,9,249,37,22.636363636363637,86.159169550173,0,0,0,0,0,0,0,0,0,AUS
P Litchfield,2022,2024,11,8,3,189,52,37.8,170.27027027027026,0,1,0,0,0,0,0,0,0,AUS
DM Kimmince,2008,2020,44,11,1,162,43,16.2,96.42857142857143,0,0,1,141,0,45,6.7304964539007095,0,0,AUS
KA Blackwell,2005,2008,6,6,3,119,43,39.666666666666664,94.44444444444444,0,0,0,3,0,0,9,0,0,AUS
SJ Coyte,2010,2016,47,21,12,117,17,13,97.5,0,0,2,160.2,1,47,6.106029106029107,1,0,AUS
G Wareham,2018,2024,52,14,7,116,32,16.571428571428573,145,0,0,2,134.3,0,51,6.230483271375463,0,0,AUS
LK Ebsary,2009,2012,14,12,4,113,24,14.125,109.70873786407766,0,0,2,0,0,0,0,0,0,AUS
A Sutherland,2020,2024,28,11,2,109,22,12.11111111111111,139.74358974358972,0,0,0,63,0,15,7.2063492063492065,0,0,AUS
RM Farrell,2009,2016,54,14,6,95,31,11.875,131.94444444444443,0,0,1,185.3,5,55,6.199460916442049,1,0,AUS
EA Osborne,2009,2016,59,18,9,78,17,8.666666666666666,96.29629629629629,0,0,5,187.2,0,48,5.765124555160142,1,0,AUS
SJ Elliott,2005,2011,14,10,2,62,19,7.75,70.45454545454545,0,0,0,14.2,0,6,6.209302325581395,0,0,AUS
NJ Carey,2018,2022,27,12,9,60,10,20,82.1917808219178,0,0,0,67.2,1,19,7.009900990099011,0,0,AUS
S Molineux,2018,2021,27,7,1,47,18,7.833333333333333,88.67924528301887,0,0,1,90.3,2,26,5.94475138121547,1,0,AUS
KL Britt,2007,2008,2,2,0,44,39,22,91.66666666666666,0,0,0,2,0,0,7,0,0,AUS
EA Burns,2019,2019,5,1,1,30,30,100,166.66666666666669,0,0,0,8,1,0,4.625,0,0,AUS
M Schutt,2013,2024,108,15,7,29,8,3.625,82.85714285714286,0,0,2,366.3,8,133,6.376534788540246,4,1,AUS
AM King,2022,2023,22,4,2,27,18,13.5,90,0,0,0,65.1,1,21,6.2915601023017915,1,0,AUS
MJ Bulow,2006,2007,2,2,0,15,11,7.5,60,0,0,0,0,0,0,0,0,0,AUS
SJ Andrews,2006,2010,16,3,3,12,10,100,85.71428571428571,0,0,0,54.3,0,10,6.752293577981652,0,0,AUS
LA Coleman,2008,2008,2,1,0,9,9,9,69.23076923076923,0,0,0,0,0,0,0,0,0,AUS
MAJ Goszko,2006,2006,1,1,0,9,9,9,100,0,0,0,0,0,0,0,0,0,AUS
JL Hunter,2010,2014,32,5,3,9,6,4.5,100,0,0,1,103,3,33,5.87378640776699,1,1,AUS
A Wellington,2017,2018,8,2,1,9,8,9,90,0,0,0,20,0,10,5.6,1,0,AUS
KM Beams,2014,2017,18,2,1,6,4,6,100,0,0,0,63,1,20,5.26984126984127,0,0,AUS
NE Bolton,2014,2016,2,1,0,6,6,6,50,0,0,0,0,0,0,0,0,0,AUS
D Brown,2021,2024,30,2,2,6,6,100,200,0,0,0,100,2,28,6.43,0,0,AUS
M Strano,2017,2020,7,4,0,6,3,1.5,37.5,0,0,1,25,0,9,6.32,0,1,AUS
CR Smith,2007,2011,13,7,3,5,1,1.25,62.5,0,0,2,50,1,14,6.22,0,0,AUS
L Cheatle,2016,2016,7,1,1,4,4,100,50,0,0,0,19,1,5,6.421052631578948,0,0,AUS
BJ Clark,2005,2005,1,1,0,4,4,4,40,0,0,0,0,0,0,0,0,0,AUS
EM Sampson,2007,2009,5,1,1,4,4,100,66.66666666666666,0,0,0,17,1,4,5.0588235294117645,0,0,AUS
KJ Garth,2022,2024,6,1,1,2,2,100,50,0,0,0,22,0,5,7.409090909090909,0,0,AUS
SE Aley,2017,2017,2,1,0,1,1,1,33.33333333333333,0,0,0,4,0,0,9.5,0,0,AUS
LM Keightley,2005,2005,1,1,0,1,1,1,50,0,0,0,0,0,0,0,0,0,AUS
KE Pike,2005,2009,10,1,0,1,1,1,20,0,0,0,28.1,1,5,7.349112426035503,0,0,AUS
HL Ferling,2013,2016,9,1,0,0,0,0,0,0,0,1,27,2,5,5.2592592592592595,0,0,AUS
SA Millanta,2012,2012,4,1,0,0,0,0,0,0,0,1,12,0,1,5.166666666666667,0,0,AUS
TJ Vlaeminck,2018,2022,15,1,0,0,0,0,0,0,0,1,47,3,13,6.042553191489362,0,0,AUS
H Kaur,2009,2024,161,145,29,3204,103,27.620689655172413,23.75,1,11,6,126.4,0,32,6.276315789473684,1,0,IND
S Mandhana,2013,2024,128,124,11,3104,87,27.469026548672566,0,0,23,5,0,0,0,0,0,0,IND
M Raj,2006,2019,89,84,21,2364,97,37.523809523809526,100,0,17,5,1,0,0,6,0,0,IND
JI Rodrigues,2018,2024,92,82,16,1944,76,29.454545454545453,54,0,10,4,9,0,1,5.555555555555555,0,0,IND
Shafali Verma,2019,2024,68,68,2,1605,73,24.318181818181817,18.6,0,8,6,31,0,10,5.967741935483871,0,0,IND
DB Sharma,2016,2024,104,74,31,1015,64,23.6046511627907,19.115044247787612,0,2,5,360,12,113,6.072222222222222,1,0,IND
V Krishnamurthy,2011,2020,76,63,16,875,57,18.617021276595743,100,0,2,1,2,0,0,10,0,0,IND
PG Raut,2009,2014,35,31,5,719,75,27.653846153846153,14,0,4,2,7,0,3,4.142857142857143,0,0,IND
RM Ghosh,2020,2024,44,37,10,677,47,25.074074074074073,0,0,0,2,0,0,0,0,0,0,IND
J Goswami,2006,2018,68,46,9,405,37,10.945945945945946,24.125,0,0,3,225.1,14,56,5.458179126572909,0,1,IND
AA Patil,2012,2019,50,35,13,386,54,17.545454545454547,21.583333333333332,0,1,5,172.4,2,48,5.837837837837838,0,0,IND
S Naik,2006,2012,31,28,2,384,59,14.76923076923077,0,0,1,3,0,0,0,0,0,0,IND
A Sharma,2006,2014,41,34,8,383,55,14.73076923076923,35.3125,0,1,5,94.1,1,16,5.989380530973451,0,0,IND
P Vastrakar,2018,2024,58,37,17,305,37,15.25,21.825000000000003,0,0,2,145.3,8,40,6.261168384879724,1,0,IND
S Meghana,2016,2022,17,16,2,258,69,18.428571428571427,0,0,1,2,0,0,0,0,0,0,IND
H Deol,2019,2023,24,17,2,251,52,16.733333333333334,18,0,1,1,18,0,6,7.777777777777778,0,0,IND
A Chopra,2006,2012,18,16,2,241,37,17.214285714285715,0,0,0,0,0,0,0,0,0,0,IND
VR Vanitha,2014,2016,16,15,0,216,41,14.4,0,0,0,2,0,0,0,0,0,0,IND
S Pandey,2014,2023,62,28,12,208,26,13,24.186046511627907,0,0,1,173.2,4,43,6.490384615384615,0,0,IND
YH Bhatia,2021,2023,18,13,1,178,35,14.833333333333334,0,0,0,0,0,0,0,0,0,0,IND
T Bhatia,2018,2022,53,23,4,172,46,9.052631578947368,0,0,0,2,0,0,0,0,0,0,IND
R Dhar,2006,2018,18,11,4,131,66,18.714285714285715,22.692307692307693,0,1,2,49.1,3,13,6.16271186440678,0,0,IND
MR Meshram,2012,2018,11,9,2,125,32,17.857142857142858,72,0,0,1,12,0,1,4.166666666666667,0,0,IND
R Malhotra,2006,2012,22,14,8,115,32,19.166666666666668,22,0,0,1,33,0,9,6.363636363636363,0,0,IND
P Roy,2009,2011,15,10,1,95,22,10.555555555555555,12.80952380952381,0,0,1,44.5,0,21,5.843866171003717,1,1,IND
AB Kaur,2023,2024,12,7,3,92,41,23,24,0,0,0,16,0,4,7.375,0,0,IND
D Hemalatha,2018,2022,15,13,3,90,20,9,13.555555555555555,0,0,1,20.2,0,9,6.491803278688525,0,0,IND
DP Vaidya,2014,2023,17,8,4,90,32,22.5,21.6,0,0,0,36,1,10,7.5,0,0,IND
S Rana,2014,2023,25,14,8,76,16,12.666666666666666,21,0,0,0,84,0,24,6.214285714285714,0,0,IND
A Reddy,2018,2021,26,13,2,73,22,6.636363636363637,26.944444444444443,0,0,2,80.5,1,18,8.028865979381443,0,0,IND
RP Yadav,2018,2023,67,22,7,71,14,4.733333333333333,19.544117647058822,0,0,3,221.3,4,68,6.6139954853273135,1,0,IND
AA Deshpande,2011,2014,8,7,1,69,28,11.5,0,0,0,0,0,0,0,0,0,0,IND
Soniya Dabir,2010,2014,13,9,3,68,23,11.333333333333334,18.4,0,0,0,46,1,15,5.043478260869565,0,0,IND
MDT Kamini,2008,2013,3,2,0,67,56,33.5,0,0,1,0,0,0,0,0,0,0,IND
L Kumari,2009,2015,6,6,0,61,36,10.166666666666666,0,0,0,1,0,0,0,0,0,0,IND
N Niranjana,2012,2016,14,8,2,42,15,7,30.11111111111111,0,0,0,45.1,3,9,5.2250922509225095,0,0,IND
E Bisht,2011,2019,42,14,6,40,15,5,16.660377358490567,0,0,1,147.1,5,53,5.300113250283126,1,0,IND
S Verma,2013,2016,19,6,3,31,12,10.333333333333334,0,0,0,0,0,0,0,0,0,0,IND
S Sharma,2012,2015,18,8,1,25,10,3.5714285714285716,21.6,0,0,1,54,4,15,5.5,0,0,IND
BS Fulmali,2019,2019,2,2,0,23,18,11.5,0,0,0,0,0,0,0,0,0,0,IND
M Mehta,2012,2014,3,2,0,23,23,11.5,0,0,0,1,0,0,0,0,0,0,IND
N Tanwar,2011,2011,2,2,0,19,17,9.5,0,0,0,0,0,0,0,0,0,0,IND
KP Navgire,2022,2022,6,4,1,17,10,5.666666666666667,0,0,0,2,0,0,0,0,0,0,IND
KS Ahuja,2023,2023,3,2,1,16,15,16,100,0,0,0,1,0,0,12,0,0,IND
DP David,2010,2012,13,7,2,15,7,3,16.125,0,0,2,43,0,16,5.27906976744186,2,0,IND
Poonam Yadav,2013,2022,72,11,6,14,4,2.8,15.918367346938776,0,0,1,260,5,98,5.75,3,0,IND
S Rath,2013,2013,2,2,0,14,9,7,100,0,0,0,3,0,0,4,0,0,IND
RS Gayakwad,2014,2023,58,9,8,12,5,12,18.65573770491803,0,0,0,189.4,6,61,6.152899824253076,0,0,IND
SK Naidu,2014,2014,6,2,1,11,11,11,12.111111111111112,0,0,0,18.1,0,9,4.128440366972477,1,0,IND
SR Patil,2023,2024,6,2,1,11,7,11,14.749999999999998,0,0,0,19.4,0,8,8.033898305084747,0,0,IND
SD Bahadur,2021,2022,6,1,0,10,10,10,90,0,0,0,15,0,1,8.4,0,0,IND
M Kanojia,2012,2012,4,3,0,10,6,3.3333333333333335,0,0,0,0,0,0,0,0,0,0,IND
KV Jain,2014,2014,9,3,1,9,8,4.5,0,0,0,1,0,0,0,0,0,0,IND
PS Punia,2019,2019,3,3,0,9,4,3,0,0,0,0,0,0,0,0,0,0,IND
A Das,2012,2014,23,10,7,8,2,2.6666666666666665,33.07692307692308,0,0,0,71.4,2,13,5.120930232558139,0,0,IND
S Ishaque,2023,2023,3,1,0,8,8,8,12,0,0,0,10,0,5,8.1,0,0,IND
Renuka Singh,2021,2024,38,5,3,7,2,3.5,21.076923076923077,0,0,0,137,4,39,6.452554744525547,2,1,IND
K Anjali Sarvani,2022,2023,6,2,1,6,4,6,44,0,0,0,22,0,3,8.681818181818182,0,0,IND
M Joshi,2016,2019,8,3,3,6,3,100,50,0,0,0,25,1,3,7.04,0,0,IND
M Mani,2023,2023,4,2,1,6,5,6,13.2,0,0,0,11,1,5,5.2727272727272725,0,0,IND
G Sultana,2008,2014,37,5,4,6,3,6,27.482758620689655,0,0,1,132.5,1,29,5.73651191969887,0,0,IND
H Kala,2006,2006,1,1,1,5,5,100,100,0,0,0,4,0,0,7,0,0,IND
J Sharma,2008,2008,1,1,0,5,5,5,0,0,0,0,0,0,0,0,0,0,IND
SLJ Lobatto,2011,2011,3,1,1,3,3,100,0,0,0,0,0,0,0,0,0,0,IND
B Mandlik,2010,2010,2,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,IND
R Dhrub,2013,2013,3,1,1,2,2,100,48,0,0,0,8,1,1,5.25,0,0,IND
SN Pradhan,2011,2011,4,3,2,2,2,2,11.166666666666666,0,0,1,11.1,0,6,5.73134328358209,0,0,IND
Preeti Bose,2016,2016,5,1,1,2,2,100,19.2,0,0,0,16,0,5,4.9375,0,0,IND
TR Sadhu,2023,2024,7,1,0,2,2,2,15.75,0,0,0,21,1,8,5.238095238095238,1,0,IND
Meghna Singh,2022,2022,9,2,0,1,1,0.5,27.75,0,0,1,18.3,1,4,8.162162162162161,0,0,IND
NM Parween,2016,2021,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,IND
V Sneha Deepthi,2013,2013,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,IND
